id;account_number;product_id;opening_date;status;balance
1;copying driver;Somalia syndicate SAS;2020-09-21T02:17:55;72280;11636
2;syndicate enhance;Buckinghamshire;2020-09-21T01:20:11;49132;81844
3;wireless;Ergonomic Soft Mouse Chips;2020-09-20T16:32:37;31207;16740
4;copy Metal Cambridgeshire;Rubber transmit;2020-09-20T21:59:34;42826;67407
5;Architect;Optional purple transmit;2020-09-20T18:10:26;54238;82678
6;Brand structure;Integration monitor;2020-09-21T01:58:37;14533;61616
7;GB black dedicated;Libyan Dinar teal;2020-09-21T01:27:21;66654;8082
8;redundant;Avon Eritrea Frozen;2020-09-20T15:41:41;91745;35505
9;Vista;scale sensor enterprise;2020-09-20T11:57:02;22160;12124
10;holistic connect wireless;technologies overriding;2020-09-21T02:08:46;33668;10472
